Id,English name,Effect description,Ref Id,Sfx Variation Id,Weight [kg],Behavior Id,Basic Price,Sell Value,Sort Id,qwcId,equipModelId,iconId,shopLv,trophySGradeId,trophySeqId,equipModelCategory,equipModelGender,accessoryCategory,refCategory,spEffectCategory,Vagrant Item Id,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,Can be Deposited,Broken when removed,disableMultiDropShare,Japanese name,Name,English Description
100,Havel's Ring,Boosts maximum equipment load,2000,-1,0,0,0,1000,3,0,0,4000,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,装備重量アップ,Equipment weight up,"This ring was named after Havel the Rock,\nLord Gwyn's old battlefield compatriot.\n\nHavel's men wore the ring to express faith in\ntheir leader and to carry a heavier load."
101,Red Tearstone Ring,Boosts ATK while HP is low,2010,-1,0,0,0,100,12,0,0,4001,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,ピンチ攻撃力アップ,Pinch attack power up,The rare gem called tearstone has the\nuncanny ability to sense imminent death.\n\nThis red tearstone from Carim boosts the\nattack of its wearer when in danger.
102,Darkmoon Blade Covenant Ring,Answer Dark Sun Gwyndolin's summoning,2320,-1,0,0,0,1000,23,0,0,4040,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,暗月神の指輪,Ring Kuratsuki God,"Ring granted to those bound by the\nDarkmoon Blade covenant.\nAnswer Dark Sun Gwyndolin's summoning.\n\nGwyndolin, all too aware of his repulsive,\nfrail appearance, created the illusion of \na sister Gwynevere, who helps him guard\nover Anor Londo. An unmasking of these\ndeities would be tantamount to blasphemy."
103,Cat Covenant Ring,Answer Alvina's summoning,2330,-1,0,0,0,1000,37,0,0,4041,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,盗賊団の指輪,Ring of bandits,Ring granted to those bound by the\nForest Hunter covenant.\nAnswer Alvina's summoning.\n\nThe white cat Alvina speaks a human tongue\nand has lived since the early Age of Fire.\nAlvina was a trusted friend of Knight\nArtorias and the Great Wolf Sif.
104,Cloranthy Ring,Boosts stamina recovery speed,2013,-1,0,0,0,100,2,0,0,4004,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,スタミナ回復アップ,Stamina recovery up,"This ancient ring, engraved with a large\ngreen flower, is of unknown origin.\n\nHastens the regeneration of stamina."
105,Flame Stoneplate Ring,Boosts fire DEF,2020,-1,0,0,0,100,6,0,0,4005,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,炎耐性アップ,Flame-resistant up,"Stoneplates, the symbol of a true knight,\ngrant the strength to face various hardships.\n\nThe red stoneplate symbolizes fire,\nand boosts defence against flame."
106,Thunder Stoneplate Ring,Boosts lightning DEF,2021,-1,0,0,0,100,7,0,0,4006,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,雷耐性アップ,Thunder Res Up,"Stoneplates, the symbol of a true knight,\ngrant the strength to face various hardships.\n\nThe yellow stoneplate symbolizes thunder,\nand boosts defence against lightning."
107,Spell Stoneplate Ring,Boosts magic DEF,2022,-1,0,0,0,100,5,0,0,4007,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,魔法耐性アップ,Magic-resistant up,"Stoneplates, the symbol of a true knight,\ngrant the strength to face various hardships.\n\nThe blue stoneplate symbolizes souls,\nand boosts defence against magic."
108,Speckled Stoneplate Ring,"Slight boost for magic, fire, lightning DEF",2024,-1,0,0,0,100,8,0,0,4008,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,全耐性アップ1,All Resistances up 1,"Stoneplates, the symbol of a true knight,\ngrant the strength to face various hardships.\n\nThe precious rare speckled stoneplate grants\na small boost to defence against magic,\nflame, and lightning."
109,Bloodbite Ring,Boosts bleeding resistance,2030,-1,0,0,0,100,9,0,0,4009,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,出血耐性アップ,Bleeding-resistant up,"One of the infamous bite rings\ncommissioned by Sir Arstor of Carim.\n\nDespite the dreadful rumors surrounding its\ncreation, this ring is an unmistakable asset,\nin its ability to help prevent bleeding."
110,Poisonbite Ring,Boosts poison resistance,2031,-1,0,0,0,100,10,0,0,4010,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,毒耐性アップ,Poison-resistant up,"One of the infamous bite rings\ncommissioned by Sir Arstor of Carim.\n\nDespite the dreadful rumors surrounding its\ncreation, this ring is an unmistakable asset,\nin its ability to help prevent poison."
111,Tiny Being's Ring,Small increase of HP,2340,-1,0,0,0,100,1,0,0,4042,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,HP微増,HP slight increase,"Ring made of an ancient tiny red jewel.\nGrants small increase to HP.\n\nRings grant powers large and small.\nTheir discovery, and effective use,\ncan make one's journey easier."
113,Cursebite Ring,Boosts curse resistance,2034,-1,0,0,0,100,11,0,0,4013,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,呪耐性アップ,Curse resistant up,"One of the infamous bite rings\ncommissioned by Sir Arstor of Carim.\n\nDespite the dreadful rumors surrounding its\ncreation, this ring is an unmistakable asset,\nin its ability to help prevent curses."
